ds,yhat,yhat_lower,yhat_upper
2021-01-31,2582433.9364781035,2444517.762069809,2724529.25016051
2021-02-28,2584982.331557615,2443570.2457008013,2731174.457944068
2021-03-31,2587803.768797354,2441285.5363783897,2736225.2222073292
2021-04-30,2590534.191934116,2447039.0348388455,2734834.5986975124
2021-05-31,2593355.6293095197,2453989.9795410926,2741750.6367522106
2021-06-30,2596086.0523564573,2450274.8719249945,2741707.618911855
2021-07-31,2598907.4892997155,2443205.1077362946,2749875.8361156564
2021-08-31,2601728.9260388217,2449733.1243522814,2745556.3938983446
2021-09-30,2604459.3487308286,2456991.2124999487,2745741.5074662226
2021-10-31,2607280.7854857533,2467047.4266689746,2769250.25966109
2021-11-30,2610011.208220351,2465338.5959372683,2756504.262423979
2021-12-31,2612832.645208624,2471063.2247046987,2756612.8985382635
2022-01-31,2615654.082019007,2471967.5944520575,2759688.877075079
2022-02-28,2618202.476663702,2464908.2082774844,2756530.436462834
2022-03-31,2621023.913585799,2479040.229267377,2768488.7795204124
2022-04-30,2623754.336498782,2475397.979840853,2769862.4410577975
2022-05-31,2626575.773615461,2482566.651253567,2777074.958533982
2022-06-30,2629306.196631601,2483042.0715016485,2779025.7319067526
2022-07-31,2632127.63374828,2482445.054956826,2778165.6981984605
2022-08-31,2634949.070864958,2486897.264051128,2788412.5929887956
2022-09-30,2637679.4938810985,2493109.1598782847,2779463.674445944
2022-10-31,2640500.9309977773,2502069.105317888,2779265.2185895257
2022-11-30,2643231.3540139175,2504250.766407616,2790784.205132423
2022-12-31,2646052.791130596,2494250.8240035083,2793771.2402250962
2023-01-31,2648874.228247274,2512041.070293121,2806270.426830399
2023-02-28,2651422.6230623387,2509478.6309255823,2795669.8848141097
2023-03-31,2654244.0601790175,2508536.88757625,2791210.4212087523
